value,description
5005,PalmazCorinthian IQ Trans/Bil (eff. 1/01) (obsolete 4/01)
5007,PalmazTran XL Bil Stent--40mm (eff. 1/01) (obsolete 4/01)
5009,VistaFlex Biliary Stent (eff. 1/01) (obsolete 4/01)
5011,"IntraStent, IntraStent LP (eff. 1/01) (obsolete 4/01)"
5013,IntraStent DoubleStrut XS (eff. 1/01) (obsolete 4/01)
5015,"AVE/X3 Bridge Sys, 40-100 (eff. 1/010 (obsolete 4/01)"
5017,WallstentRP Bil--20/40/60/68mm (eff. 1/01) (obsolete 4/01)
5019,Flexima Bil Stent Sys (eff. 1/01) (obsolete 4/01)
5021,Smart Nitinol Stent--40/60mm (eff. 1/01) (obsolete 4/01)
5023,BX Velocity Stent--8/13mm (eff. 1/01) (obsolete 4/01)
5025,BX Velocity Stent 23 mm (eff. 1/01) (obsolete 4/01)
5027,BX Velocity Stent w/Hep--8/13mm (eff. 1/01) (obsolete 4/01)
5029,BX Velocity Stent w/Hep--23mm (eff. 1/01) (obsolete 4/01)
5031,"Stent, coronary, S660 15/18mm (eff. 1/01) (obsolete 4/01)"
5033,"Niroyal Stent Sys, 9mm (eff. 1/01) (obsolete 4/01)"
5035,"Niroyal Stent Sys, 18mm (eff. 1/01) (obsolete 4/01)"
5037,"Niroyal Stent Sys, 31mm (eff. 1/01) (obsolete 4/01)"
5039,IntraCoil Periph Stent--40mm (eff. 1/01) (obsolete 4/01)
5041,BeStent Over-the-Wire 24/30mm (eff. 1/01) (obsolete 4/01)
5043,BeStent Over-the-Wire 15mm (eff. 1/01) (obsolete 4/01)
5045,Multilink Tetra Cor Stent Sys (eff. 1/01) (obsolete 4/01)
5047,Niroyal Elite Cor Stent Sys (eff. 1/01) (obsolete 4/01)
5130,Wilson-Cook Colonic Z-Stent (eff. 1/01) (obsolete 4/01)
5132,Bard Colorectal Stent-80mm (eff. 1/01) (obsolete 4/01)
5134,Enteral Wallstent-90mm (eff. 1/01) (obsolete 4/01)
5280,Inlay Dbl Ureteral Stent (eff. 1/01) (obsolete 4/01)
5282,Wallgraft Trach Sys 20/30/50 (eff. 1/01) (obsolete 4/01)
5284,Wallstent TrachUltraFlex (eff. 1/01) (obsolete 4/01)
5601,VasoSeal Model 1000 (eff. 1/01) (obsolete 4/01)
6002,Composix Mesh 32 in (eff. 1/01) (obsolete 4/01)
6004,Composix Mesh 80 in (eff. 1/01) (obsolete 4/01)
6006,Composix Mesh 144 in (eff. 1/01) (obsolete 4/01)
6013,Pelvicol Collagen 21/24/28 sq cm (eff. 1/01) (obsolete 4/01)
6015,Pelvicol Collagen 48 sq cm (eff. 1/01) (obsolete 4/01)
6017,Gore-Tex DualMesh 75/96 sq cm (eff. 1/01) (obsolete 4/01)
6019,Gore-Tex DualMesh 285 sq cm (eff. 1/01) (obsolete 4/01)
6021,Gore-Tex DualMesh 600 sq cm (eff. 1/01) (obsolete 4/01)
6023,"Gore-TexPlus 1mm, 75/96 sq cm (eff. 1/01) (obsolete 4/01)"
6025,"Gore-TexPlus 1mm, 285 sq cm (eff. 1/01) (obsolete 4/01)"
6027,"Gore-TexPlus 1mm, 600 sq cm (eff. 1/01) (obsolete 4/01)"
6029,"Gore-TexPlus 2mm, 150 sq cm (eff. 1/01) (obsolete 4/01)"
6031,"Gore-TexPlus 2mm, 432 sq cm (eff. 1/01) (obsolete 4/01)"
6033,"Gore-TexPlus 2mm, 884 sq cm (eff. 1/01) (obsolete 4/01)"
6035,"Bard ePTFE: 150sqcm-1mm,75-2mm (eff. 1/01) (obsolete 4/01)"
6037,"Bard ePTFE: 300 sq cm-1,2mm (eff. 1/01) (obsolete 4/01)"
6039,Bard ePTFE: 884sq cm-1mm (eff. 1/01) (obsolete 4/01)
6041,Bard ePTFE: 884sq cm -2mm (eff. 1/01) (obsolete 4/01)
6051,"Stratasis Sling, 20/40 cm (eff. 1/01) (obsolete 4/01)"
6053,Surgisis Soft Graft (eff. 1/01) (obsolete 4/01)
6055,Surgisis Enhanced Tissue (eff. 1/01) (obsolete 4/01)
6057,Surgisis Hernia Graft (eff. 1/01) (obsolete 4/01)
6080,Male Sling Sys w/wo Matrial (eff. 1/01) (obsolete 4/01)
6201,Impra Venaflo--10/20cm (eff. 1/01) (obsolete 4/01)
6203,"Impra Venaflo--50 cm, vt45 (eff. 1/01) (obsolete 4/01)"
6205,Impra Carboflo--10cm (eff. 1/01) (obsolete 4/01)
6207,Impra Carboflo--30/35/40cm (eff. 1/01) (obsolete 4/01)
6209,Impra Carboflo--ctrflex (eff. 1/01) (obsolete 4/01)
6300,Vanguard III Endovas Graft (eff. 1/01) (obsolete 4/01)
6501,Soft Tip Sheaths (eff. 1/01) (obsolete 4/01)
6525,Spectranetics Laser Sheath (eff. 1/01) (obsolete 4/01)
6650,Fast-Cath Guiding Introducer (eff. 1/01) (obsolete 4/01)
6652,Bard Excalibur Introducer (eff. 1/01) (obsolete 4/01)
7000,"Amifostine, 500 mg (eligible for pass-through payments)"
7002,"Clonidine, HCl, 1 MG (eligible for pass-through payments) (obsolete 1/01)"
7004,"Immune globulin intravenous human 5g, inj (eligible for pass-through payments)"
7007,"Milrinone lacetate, per 5 ml, inj (not subject to national coinsurance)"
7011,"Oprelevekin, inj, 5 mg (eligible for pass-through payments)"
7014,"Fentanyl citrate, inj, up to 2 ml (eligible for pass-through payments)"
7019,"Aprotinin, 10,000 kiu (eligible for pass-through payments)"
7022,"Elliotts B Solution, per ml (eligible for pass-through payments)"
7024,"Corticorelin ovine triflutate, 0.1 mg (eligible for pass-through payments)"
7026,"Ethanolamine oleate, 1000 ml (eligible for pass-through payments)"
7028,"Fosphenytoin, 50 mg (eligible for pass-through payments)"
7030,"Hemin, 1 mg (eligible for pass-through payments)"
7032,"Sermorelin acetate, 0.5 mg (eligible for pass-through payments)"
7034,"Somatropin, 1 mg (eligible for pass-through payments)"
7036,"Urokinase, inj, IV, 250,000 I.U. (not subject to national coinsurance)"
7038,"Muromonab-CD3, 5 mg (eligible for pass-through payments)"
7040,"Pentastarch 10% inj, 100 ml (eligible for pass-through payments)"
7042,"Capecitabine, oral 150 mg (eligible for pass-through payments)"
7045,Trimetrexate Glucoronate (eligible for pass-through payments)
7047,Droperidol/fentanyl inj (eff. 1/01)
7049,Filgrastim 480 mcg injection (eff. 1/01)
8099,Spectranetics Lead Lock Dev (eff. 1/01) (obsolete 4/01)
8102,SurgiVision Esoph Coil (eff. 1/01) (obsolete 4/01)
9001,"Linezolid inj, 200mg (eff. 1/01)"
9003,"Palivizumab, per 50 mg (eff. 1/01)"
9005,"Reteplase inj, half-kit, 18.8 mg/vial (eff. 1/01)"
9007,Baclofen Intrathecal kit-1amp (eff. 1/01)
9009,Baclofen Refill Kit--2000mcg (eff. 1/01)
9011,"Caffeine Citrate, inj, 1ml (eff. 1/01)"
9013,"Co 57 Cobaltous Cl, 1 ml (eff. 4/01)"
9102,"51 Na chromate, 50mCi (eff. 1/01)"
9104,"Anti-thymocyte globin, 25 mg (eff. 1/01)"
9106,Sirolimus 1 mg/ml (eff. 1/01)
9108,"Thyrotropin Alfa, 1.1 mg (eff. 1/01)"
9217,"Leuprolide acetate for depot suspension, 7.5 mg (eff. 1/01)"
9501,"Platelets, pheresis, ea unit (eff. 1/01)"
9503,"Fresh frozen plasma, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
